iter	Logloss
0	0.6862107269
1	0.6790154427
2	0.6720586943
3	0.6654339115
4	0.6587061246
5	0.6521574636
6	0.6465923913
7	0.6401309076
8	0.635948078
9	0.6303398882
10	0.6248227515
11	0.6190079432
12	0.6138210281
13	0.6093538878
14	0.604808764
15	0.5997285076
16	0.5948571341
17	0.5900979136
18	0.5855091338
19	0.5812703361
20	0.5771220714
21	0.5730589811
22	0.5683692026
23	0.5650428594
24	0.5607130973
25	0.5566096504
26	0.5525831336
27	0.5501542957
28	0.5467434023
29	0.5433487273
30	0.5400416349
31	0.536339391
32	0.5328333111
33	0.5294981364
34	0.5262219714
35	0.5234070683
36	0.520317047
37	0.5179127893
38	0.5154587303
39	0.512611611
40	0.5098744432
41	0.5074521458
42	0.5050025135
43	0.5022006081
44	0.5003429748
45	0.4981687455
46	0.4960311642
47	0.4943449767
48	0.4918057946
49	0.4894395466
50	0.4874538904
51	0.4854340835
52	0.483660757
53	0.4818463527
54	0.479858836
55	0.4776388078
56	0.4759679028
57	0.4741381232
58	0.4723280637
59	0.4706929386
60	0.4687385381
61	0.467220942
62	0.4656390868
63	0.4641330035
64	0.4626533653
65	0.461317779
66	0.4598209649
67	0.458303402
68	0.456959134
69	0.4557440715
70	0.4543536028
71	0.4530896503
72	0.4517529384
73	0.4504409143
74	0.4494630543
75	0.4484305381
76	0.4473594167
77	0.4460399186
78	0.4449258044
79	0.4438839341
80	0.4427282106
81	0.44234083
82	0.4413455106
83	0.4404082915
84	0.4392974996
85	0.4382474596
86	0.4378076423
87	0.4369758852
88	0.4361711493
89	0.4354610387
90	0.4347993763
91	0.4336684181
92	0.4327161563
93	0.4316411605
94	0.4308467065
95	0.430123226
96	0.4291385207
97	0.4282701381
98	0.4274287089
99	0.4267347261
100	0.4259949929
101	0.4252620607
102	0.4243442699
103	0.4235751407
104	0.4229611472
105	0.422265027
106	0.421811892
107	0.4210978216
108	0.4208443849
109	0.4201841795
110	0.4197657606
111	0.4190709877
112	0.4184798744
113	0.4178229872
114	0.4173851939
115	0.4169184023
116	0.4162648357
117	0.4156093522
118	0.4151713952
119	0.4147350657
120	0.4141132502
121	0.4136900771
122	0.4132815811
123	0.412594308
124	0.4120285728
125	0.411429613
126	0.4109768868
127	0.4100703008
128	0.409422554
129	0.408805543
130	0.4082843142
131	0.4077206671
132	0.4071859837
133	0.4066894874
134	0.4063446274
135	0.4057749229
136	0.4053638428
137	0.4049589048
138	0.4041421798
139	0.4039210052
140	0.403716478
141	0.4032786273
142	0.4030803031
143	0.4023633122
144	0.4018433009
145	0.401619846
146	0.401250253
147	0.4007226037
148	0.4002323727
149	0.3999240103
150	0.3995102959
151	0.3990530066
152	0.3986547562
153	0.3980485568
154	0.3978955015
155	0.3975688273
156	0.3974474537
157	0.3973217667
158	0.396877764
159	0.3966984373
160	0.3963503549
161	0.3959882482
162	0.3956715876
163	0.395327195
164	0.3949095588
165	0.3944860356
166	0.394364533
167	0.394256335
168	0.3941072471
169	0.3937106804
170	0.3935309578
171	0.3931829334
172	0.3929932368
173	0.3926424877
174	0.392403981
175	0.392211668
176	0.3917264678
177	0.3916390501
178	0.3913355004
179	0.3910178265
180	0.3908485692
181	0.3906800577
182	0.390434148
183	0.3903873745
184	0.390060699
185	0.3898463825
186	0.3898007159
187	0.3892312292
188	0.389062606
189	0.3887812464
190	0.3885398156
191	0.3881392734
192	0.3879235978
193	0.3875678874
194	0.3872391182
195	0.3869541916
196	0.3866925937
197	0.3863677849
198	0.3860275886
199	0.3858232189
200	0.3855744043
201	0.3854606688
202	0.3851878763
203	0.3847321844
204	0.3844175243
205	0.3840721146
206	0.383878334
207	0.383823954
208	0.383567119
209	0.3833358936
210	0.383105402
211	0.3828853143
212	0.3828582362
213	0.3828035797
214	0.3825936189
215	0.3824085475
216	0.3821604123
217	0.3819839615
218	0.3817829374
219	0.3816109164
220	0.381328085
221	0.3810946374
222	0.3808278403
223	0.3806896912
224	0.3803823576
225	0.3801869167
226	0.3799936181
227	0.3795333264
228	0.3795276697
229	0.379278974
230	0.3790667132
231	0.3790291036
232	0.3788493496
233	0.3785492625
234	0.3783186459
235	0.378105237
236	0.3777485493
237	0.3776468058
238	0.3774628774
239	0.3772045363
240	0.3770258237
241	0.3769121899
242	0.3768268764
243	0.3766456786
244	0.3765524263
245	0.3765225519
246	0.376305919
247	0.3760396023
248	0.3758715678
249	0.3757809484
250	0.3755501506
251	0.3752910153
252	0.3751013292
253	0.3749270624
254	0.3747650686
255	0.3745333094
256	0.3742545072
257	0.3741902246
258	0.3739959162
259	0.373824772
260	0.3735695319
261	0.373401934
262	0.3732341774
263	0.3731045082
264	0.3728542594
265	0.3726116994
266	0.372427838
267	0.3723915326
268	0.3722156299
269	0.3719340807
270	0.3717893066
271	0.3715782526
272	0.371324719
273	0.3711852372
274	0.3710747139
275	0.3708453286
276	0.3707422677
277	0.3705740863
278	0.3704588376
279	0.3703668764
280	0.3703327191
281	0.370235558
282	0.3702148968
283	0.3700118001
284	0.3697942447
285	0.3697088702
286	0.3693859652
287	0.3693355317
288	0.3691682097
289	0.3690095622
290	0.3688859844
291	0.3687654163
292	0.3685711663
293	0.3685114446
294	0.3682784916
295	0.3681756397
296	0.3680332391
297	0.3679974765
298	0.3678627919
299	0.3677579098
