iter	Passed	Remaining
0	3	1011
1	6	898
2	8	857
3	11	823
4	14	856
5	17	852
6	19	815
7	21	798
8	23	757
9	26	771
10	29	763
11	31	754
12	34	750
13	35	735
14	38	737
15	41	732
16	43	727
17	46	724
18	48	719
19	51	719
20	53	714
21	56	710
22	58	709
23	60	696
24	63	694
25	66	701
26	68	696
27	70	683
28	72	681
29	75	679
30	78	677
31	80	675
32	83	672
33	85	670
34	88	669
35	91	667
36	93	662
37	95	657
38	97	654
39	100	651
40	103	651
41	105	648
42	108	645
43	110	644
44	112	637
45	114	631
46	117	629
47	119	625
48	121	623
49	124	623
50	128	626
51	130	623
52	134	625
53	138	631
54	141	631
55	144	629
56	146	625
57	149	623
58	152	621
59	154	619
60	157	618
61	160	618
62	163	614
63	166	614
64	169	611
65	173	614
66	175	610
67	178	608
68	180	605
69	183	602
70	185	598
71	188	595
72	191	595
73	194	593
74	196	589
75	199	588
76	201	584
77	205	583
78	207	580
79	210	577
80	212	574
81	214	569
82	216	566
83	220	565
84	223	565
85	225	562
86	227	556
87	229	553
88	232	550
89	233	545
90	235	541
91	238	538
92	240	535
93	243	533
94	245	530
95	248	528
96	251	525
97	254	524
98	257	523
99	259	519
100	261	516
101	264	513
102	267	510
103	269	507
104	271	504
105	274	501
106	276	498
107	278	495
108	280	490
109	282	487
110	285	485
111	287	483
112	290	480
113	292	477
114	295	474
115	297	471
116	299	468
117	302	465
118	303	462
119	305	458
120	308	456
121	310	453
122	313	451
123	316	449
124	319	447
125	321	444
126	324	441
127	327	439
128	329	437
129	332	434
130	335	432
131	337	429
132	340	427
133	342	424
134	345	422
135	347	419
136	350	416
137	352	413
138	354	411
139	357	408
140	358	404
141	360	401
142	362	398
143	365	395
144	367	392
145	369	390
146	372	387
147	374	384
148	377	382
149	380	380
150	382	377
151	384	374
152	387	371
153	389	369
154	392	367
155	395	365
156	397	361
157	398	358
158	402	356
159	403	353
160	405	350
161	408	347
162	411	345
163	414	343
164	416	340
165	419	338
166	421	335
167	423	332
168	425	330
169	428	327
170	430	324
171	433	322
172	435	319
173	437	316
174	440	314
175	443	312
176	446	309
177	447	306
178	450	304
179	452	301
180	455	299
181	458	297
182	460	294
183	462	291
184	465	289
185	467	286
186	469	283
187	471	281
188	474	278
189	477	276
190	479	273
191	483	271
192	485	269
193	488	266
194	491	264
195	493	262
196	496	259
197	499	257
198	502	254
199	504	252
200	507	249
201	509	247
202	513	245
203	515	242
204	518	240
205	520	237
206	523	235
207	525	232
208	527	229
209	530	227
210	533	224
211	535	222
212	537	219
213	539	216
214	542	214
215	544	211
216	547	209
217	549	206
218	552	204
219	554	201
220	557	199
221	560	196
222	562	194
223	564	191
224	568	189
225	571	187
226	574	184
227	577	182
228	578	179
229	581	176
230	583	174
231	585	171
232	587	169
233	590	166
234	593	164
235	596	161
236	599	159
237	602	156
238	604	154
239	607	151
240	609	149
241	611	146
242	614	144
243	616	141
244	619	139
245	620	136
246	623	133
247	625	131
248	628	128
249	631	126
250	633	123
251	636	121
252	638	118
253	641	116
254	644	113
255	646	111
256	649	108
257	651	106
258	653	103
259	656	101
260	659	98
261	662	96
262	665	93
263	667	91
264	671	88
265	674	86
266	677	83
267	678	81
268	682	78
269	684	76
270	687	73
271	689	71
272	692	68
273	694	65
274	697	63
275	699	60
276	702	58
277	705	55
278	707	53
279	710	50
280	712	48
281	714	45
282	716	43
283	719	40
284	722	38
285	724	35
286	727	32
287	729	30
288	732	27
289	735	25
290	737	22
291	740	20
292	743	17
293	745	15
294	748	12
295	750	10
296	752	7
297	755	5
298	758	2
299	760	0
