iter	RMSE
0	3935.772351
1	3454.992122
2	3086.182862
3	2818.585723
4	2602.124192
5	2436.750803
6	2316.948934
7	2224.700597
8	2156.606826
9	2103.804744
10	2058.477196
11	2019.048787
12	1995.168603
13	1971.548385
14	1955.202676
15	1939.987679
16	1928.546623
17	1915.185993
18	1905.020665
19	1893.41052
20	1885.866113
21	1878.391374
22	1873.441797
23	1865.739913
24	1858.151765
25	1851.187839
26	1846.035807
27	1841.653323
28	1836.88146
29	1831.990357
30	1828.950963
31	1823.320184
32	1820.570157
33	1815.535962
34	1811.349057
35	1809.734697
36	1806.518728
37	1800.037638
38	1797.376368
39	1794.089332
40	1788.878705
41	1788.379736
42	1783.93435
43	1781.439105
44	1779.517883
45	1774.271775
46	1769.818524
47	1768.208958
48	1765.509293
49	1762.00605
50	1759.006534
51	1755.87338
52	1754.142031
53	1749.866117
54	1746.123361
55	1743.517221
56	1741.153037
57	1738.717241
58	1736.41902
59	1733.300684
60	1730.19632
61	1727.828644
62	1723.573789
63	1719.735569
64	1716.672927
65	1716.634758
66	1714.175175
67	1711.892613
68	1709.615878
69	1707.173216
70	1704.450899
71	1703.546631
72	1699.290026
73	1695.745922
74	1693.133761
75	1691.49739
76	1689.005503
77	1686.310074
78	1684.583559
79	1682.257019
80	1680.412138
81	1680.359339
82	1677.113181
83	1674.11389
84	1670.902426
85	1668.853322
86	1667.698058
87	1667.16337
88	1663.256725
89	1660.334324
90	1657.939203
91	1657.642228
92	1655.040437
93	1653.620722
94	1651.677743
95	1650.000601
96	1649.972737
97	1649.940582
98	1648.658642
99	1645.600321
100	1643.80186
101	1642.142173
102	1640.699377
103	1638.459246
104	1635.998477
105	1633.480057
106	1631.932468
107	1629.873814
108	1628.269497
109	1627.074302
110	1624.708221
111	1623.508679
112	1621.571224
113	1619.457856
114	1617.355604
115	1615.765273
116	1614.996425
117	1614.134241
118	1612.38551
119	1610.714369
120	1608.444393
121	1607.58449
122	1607.558205
123	1605.356781
124	1603.871203
125	1602.128289
126	1601.143918
127	1600.188345
128	1598.229887
129	1596.399833
130	1595.096323
131	1592.356389
132	1592.09677
133	1592.082718
134	1590.354252
135	1588.531879
136	1587.870453
137	1586.373744
138	1584.984751
139	1583.437677
140	1581.655115
141	1580.192388
142	1578.702651
143	1576.518815
144	1574.692128
145	1573.1728
146	1571.442022
147	1570.30612
148	1568.926221
149	1567.018362
150	1567.015639
151	1566.087993
152	1565.478936
153	1564.0101
154	1562.299101
155	1561.385858
156	1560.820454
157	1560.807411
158	1559.853669
159	1559.069776
