iter	Passed	Remaining
0	27	4747
1	48	4185
2	70	4067
3	93	3979
4	162	5518
5	236	6669
6	278	6689
7	303	6330
8	330	6092
9	352	5817
10	380	5678
11	407	5530
12	434	5420
13	463	5331
14	487	5202
15	511	5087
16	533	4956
17	559	4876
18	583	4789
19	610	4727
20	635	4658
21	659	4589
22	682	4511
23	708	4460
24	732	4396
25	754	4322
26	776	4256
27	801	4209
28	823	4146
29	841	4068
30	864	4013
31	884	3953
32	908	3910
33	931	3861
34	954	3816
35	977	3776
36	1000	3729
37	1022	3686
38	1045	3647
39	1068	3606
40	1091	3567
41	1114	3528
42	1138	3494
43	1160	3454
44	1185	3423
45	1207	3385
46	1230	3351
47	1254	3318
48	1273	3274
49	1298	3246
50	1320	3210
51	1344	3179
52	1367	3147
53	1389	3114
54	1412	3082
55	1435	3050
56	1461	3026
57	1485	2997
58	1506	2962
59	1529	2931
60	1552	2900
61	1574	2870
62	1598	2841
63	1623	2815
64	1646	2785
65	1669	2757
66	1694	2731
67	1717	2703
68	1741	2675
69	1763	2645
70	1787	2618
71	1809	2588
72	1830	2557
73	1848	2522
74	1871	2494
75	1893	2466
76	1915	2437
77	1937	2409
78	1962	2384
79	2005	2381
80	2095	2431
81	2136	2422
82	2159	2394
83	2186	2368
84	2208	2338
85	2232	2310
86	2258	2284
87	2287	2261
88	2313	2235
89	2342	2212
90	2367	2185
91	2393	2159
92	2414	2128
93	2437	2100
94	2461	2072
95	2484	2044
96	2508	2017
97	2533	1990
98	2556	1962
99	2579	1934
100	2604	1908
101	2628	1880
102	2650	1852
103	2673	1824
104	2696	1797
105	2718	1769
106	2743	1743
107	2766	1716
108	2789	1688
109	2814	1663
110	2837	1636
111	2860	1609
112	2883	1581
113	2906	1555
114	2928	1527
115	2953	1502
116	2977	1475
117	2999	1448
118	3021	1421
119	3043	1394
120	3064	1367
121	3088	1341
122	3111	1315
123	3135	1289
124	3159	1263
125	3181	1237
126	3204	1211
127	3226	1184
128	3248	1158
129	3277	1134
130	3317	1114
131	3340	1088
132	3363	1062
133	3386	1036
134	3410	1010
135	3431	984
136	3454	958
137	3477	932
138	3500	906
139	3524	881
140	3548	855
141	3572	830
142	3594	804
143	3618	778
144	3639	753
145	3662	727
146	3672	699
147	3695	674
148	3717	648
149	3736	622
150	3759	597
151	3782	572
152	3805	547
153	3828	522
154	3851	496
155	3873	471
156	3896	446
157	3919	421
158	3942	396
159	3964	371
160	3986	346
161	4008	321
162	4015	295
163	4034	270
164	4057	245
165	4079	221
166	4101	196
167	4110	171
168	4133	146
169	4157	122
170	4175	97
171	4194	73
172	4216	48
173	4237	24
174	4258	0
